iter	MultiClassOneVsAll
0	0.6739725251
1	0.6687448113
2	0.6658359816
3	0.6561852875
4	0.6525686736
5	0.6419163678
6	0.6345397825
7	0.6333434664
8	0.6286116269
9	0.6244536133
10	0.6242728962
11	0.6221087167
12	0.6220137732
13	0.6175382137
14	0.6155150339
15	0.6135781375
16	0.6127823789
17	0.6111127269
18	0.6106821951
19	0.6075060574
20	0.6068170138
21	0.6057129766
22	0.6043653834
23	0.6043634866
24	0.6043620955
25	0.6023995011
26	0.6015603943
27	0.6013365393
28	0.6003254
29	0.6000533187
30	0.5999382266
31	0.5996308155
32	0.5994344159
33	0.5994344045
34	0.5979176706
35	0.5964474341
36	0.595492344
37	0.5952521321
38	0.5952518222
39	0.5944032497
40	0.5940271331
41	0.5930766745
42	0.5926644884
43	0.5919527341
44	0.5913327808
45	0.5905317141
46	0.5900305921
47	0.5900303189
48	0.5897904587
49	0.5897902547
50	0.5894475759
51	0.5893289012
52	0.5888942638
53	0.588295434
54	0.5877567342
55	0.5877565405
56	0.5873103145
57	0.587097584
58	0.5870524611
59	0.5866717089
60	0.5863588468
61	0.5863587988
62	0.5861018796
63	0.5860382261
64	0.586038185
65	0.5856562861
66	0.5853029908
67	0.5851516802
68	0.5849975385
69	0.5848840147
70	0.5844581495
71	0.5840495481
72	0.5839467459
73	0.583946734
74	0.5838997791
75	0.5835102507
76	0.5834718658
77	0.5831343282
78	0.5828288593
79	0.5822820184
80	0.5819709417
81	0.5819708418
82	0.5819707685
83	0.581875668
84	0.5818755916
85	0.5816296633
86	0.5814068819
87	0.5810667978
88	0.5809073749
89	0.5807128738
90	0.5801816402
91	0.5798811376
92	0.5798809812
93	0.5797922818
94	0.5795404994
95	0.579250197
96	0.5789963899
97	0.5786038673
98	0.5784819368
99	0.5782150216
100	0.5776010393
101	0.5773384235
102	0.5772820063
103	0.5772592763
104	0.5769165021
105	0.5766924845
106	0.5766922932
107	0.576692153
108	0.5766920502
109	0.5764978079
110	0.5760523895
111	0.5758311863
112	0.5755284656
113	0.575491266
114	0.5754468777
115	0.5752762635
116	0.5748775969
117	0.5747569782
118	0.5744454362
119	0.5741235966
120	0.5739542985
121	0.5736122644
122	0.5736004979
123	0.5735646157
124	0.5733186533
125	0.5730879707
126	0.572980697
127	0.5729805586
128	0.572947982
129	0.5728392035
130	0.572733184
131	0.5725649557
132	0.5723843249
133	0.5723751328
134	0.5722753853
135	0.5721503252
136	0.5721502614
137	0.5718513756
138	0.5717080498
139	0.5716354792
140	0.5714252974
141	0.5713558727
142	0.5712676733
143	0.5710551358
144	0.5709846038
145	0.5708944078
146	0.5707222093
147	0.5707221092
148	0.5706028066
149	0.570454568
150	0.5704544438
151	0.5704542824
152	0.5704355026
153	0.5704133356
154	0.5703577834
155	0.5703458509
156	0.5702390931
157	0.5701474807
158	0.5700728126
159	0.5700676271
160	0.570030096
161	0.569825289
162	0.5697478329
163	0.5697477759
164	0.5696368939
165	0.5696368696
166	0.5695518141
167	0.5694624144
168	0.5694442271
169	0.5694442113
170	0.5694104295
171	0.5693754284
172	0.5692836385
173	0.5691258578
174	0.56912585
175	0.5689951829
176	0.5688719726
177	0.5688094907
178	0.5685837056
179	0.5683766449
180	0.5682774551
181	0.5682774401
182	0.5681951981
183	0.5680783079
184	0.5680313049
185	0.5678375757
186	0.5678375738
187	0.5677446293
188	0.567677623
189	0.5676776196
190	0.5675645559
191	0.567505023
192	0.5674810475
193	0.5673792304
194	0.5672950179
195	0.5672911863
196	0.5672888731
197	0.5672698218
198	0.5671367087
199	0.5670740237
200	0.5670740232
201	0.5670722805
202	0.5670722802
203	0.5669252511
204	0.5668367336
205	0.5668367315
206	0.5668367299
207	0.5666474072
208	0.5665871889
209	0.5665152596
210	0.5665059053
211	0.5663965305
212	0.5663937354
213	0.5662525933
214	0.5662089356
215	0.5662089356
216	0.5662089355
217	0.5661914436
218	0.5661914435
219	0.566165119
220	0.5661197586
221	0.565996748
222	0.5659967472
223	0.5658981559
224	0.565781806
225	0.5657097968
226	0.5655980013
227	0.5655979947
228	0.5655950113
229	0.5655659487
230	0.5654655686
231	0.5654370657
232	0.5654370583
233	0.5653796503
234	0.5653150569
235	0.5652926456
236	0.5652571491
237	0.5652493904
238	0.565130358
239	0.5650746983
240	0.5650719898
241	0.5649524741
242	0.5649086828
243	0.5647338538
244	0.5647338533
245	0.564727253
246	0.5646302674
247	0.5645694699
248	0.564510182
249	0.5644798855
250	0.5644583176
251	0.5643419029
252	0.5642767784
253	0.5642263326
254	0.564225931
255	0.564173176
256	0.5641356218
257	0.5640848614
258	0.5640741408
259	0.56406982
260	0.5640245864
261	0.5640222666
262	0.5639605268
263	0.563808728
264	0.5636977218
265	0.5635736308
266	0.5635736297
267	0.5635313888
268	0.5635299551
269	0.5634627695
270	0.5634006301
271	0.5633369562
272	0.5633004414
273	0.5632679777
274	0.5632295802
275	0.5631502696
276	0.563150269
277	0.563020837
278	0.5629128905
279	0.5628708417
280	0.5628160357
281	0.5626508095
282	0.5626389978
283	0.5626389976
284	0.5625695157
285	0.5625026639
286	0.5624810632
287	0.5624810584
288	0.562481055
289	0.5624648579
290	0.5624648548
291	0.5624591803
292	0.5624591784
293	0.5624381504
294	0.5622946303
295	0.5622713693
296	0.5622353581
297	0.5621807817
298	0.5621807816
299	0.5621552367
300	0.562096396
301	0.5620638948
302	0.561955313
303	0.5619288808
304	0.5619195585
305	0.5618888966
306	0.5618248689
307	0.5618133624
308	0.5617831489
309	0.5616944953
310	0.5616941581
311	0.5616451327
312	0.5616243261
313	0.5616180025
314	0.561599617
315	0.561595763
316	0.561580638
317	0.5615415299
318	0.5615415298
319	0.5615160428
320	0.5614571765
321	0.5614571765
322	0.5614059345
323	0.5614059345
324	0.5613537667
325	0.5613534798
326	0.5613143334
327	0.5612600208
328	0.5612271106
329	0.5611757828
330	0.5611757519
331	0.561131628
332	0.5611316275
333	0.561086638
334	0.5610404653
335	0.560978449
336	0.560978449
337	0.5609764229
338	0.5609669886
339	0.5608659322
340	0.5608510444
341	0.560843065
342	0.5608373557
343	0.5607914863
344	0.5607184319
345	0.5606472671
346	0.5606058539
347	0.5606057212
348	0.5605362647
349	0.5604947959
350	0.560493343
351	0.5604928878
352	0.5604778906
353	0.5604556824
354	0.5604544501
355	0.5604527045
356	0.5604164187
357	0.560383318
358	0.560383316
359	0.5603695332
360	0.5603442154
361	0.5603282475
362	0.5602958226
363	0.5602958198
364	0.5602958176
365	0.5602298253
366	0.5601904007
367	0.5601904006
368	0.5601881527
369	0.5601881527
370	0.5601247864
371	0.5600874417
372	0.5599775655
373	0.5599766012
374	0.559945275
375	0.5599452749
376	0.5599305018
377	0.5598994425
378	0.5598956159
379	0.5598494426
380	0.5598493299
381	0.5598474784
382	0.5598118002
383	0.5598110307
384	0.5597618318
385	0.559710738
386	0.5597022937
387	0.559608178
388	0.5595779581
389	0.5595306743
390	0.5594877957
391	0.5594156773
392	0.5593746482
393	0.5593745377
394	0.5593394254
395	0.5593338346
396	0.559310224
397	0.5592429
398	0.5591604888
399	0.5591438405
400	0.5590782889
401	0.5590588594
402	0.5589996105
403	0.5589845317
404	0.5589842651
405	0.558955376
406	0.5589062453
407	0.558876189
408	0.5588265871
409	0.5588265867
410	0.5587902472
411	0.5587742729
412	0.5587638422
413	0.5587346955
414	0.5586955465
415	0.5586952181
416	0.5586705715
417	0.5586617797
418	0.5585618303
419	0.5585194279
420	0.5584985647
421	0.5584913029
422	0.5584411068
423	0.5583968239
424	0.5583967649
425	0.5583761328
426	0.5582995416
427	0.5582772709
428	0.5582215422
429	0.5582204624
430	0.5581413472
431	0.5581187887
432	0.5581118805
433	0.558033286
434	0.5579948132
435	0.5579929833
436	0.5579454645
437	0.5579454622
438	0.5579454557
439	0.5579454544
440	0.5578712243
441	0.5577991657
442	0.5577419595
443	0.5577243511
444	0.5576297124
445	0.5575998839
446	0.5575310637
447	0.5575259411
448	0.5575058938
449	0.5574908676
450	0.5574700383
451	0.5574631791
452	0.5574346834
453	0.5573886356
454	0.5573276497
455	0.5573263303
456	0.5573029014
457	0.557302899
458	0.5572706534
459	0.5572645345
460	0.5572166435
461	0.5571499408
462	0.5571499374
463	0.5571498446
464	0.5571431076
465	0.5571004805
466	0.5570892865
467	0.5570682883
468	0.5570067801
469	0.5569642378
470	0.5569638277
471	0.5568370933
472	0.5568178542
473	0.5567283615
474	0.5566763866
475	0.5566620694
476	0.5566572785
477	0.556628904
478	0.5566040665
479	0.5565831423
480	0.5565263583
481	0.5565230061
482	0.5564462462
483	0.5564461276
484	0.5564461276
485	0.556393351
486	0.5563879943
487	0.5563866424
488	0.5563642213
