iter	Passed	Remaining
0	104	146417
1	172	120592
2	202	94252
3	274	95798
4	341	95318
5	412	95759
6	476	94897
7	513	89337
8	579	89541
9	646	89929
10	670	84627
11	747	86512
12	782	83521
13	863	85485
14	942	86994
15	1011	87481
16	1049	85393
17	1093	83957
18	1122	81620
19	1194	82405
20	1287	84538
21	1333	83556
22	1408	84331
23	1433	82214
24	1455	80077
25	1521	80415
26	1585	80622
27	1607	78761
28	1664	78694
29	1696	77451
30	1724	76136
31	1755	75045
32	1782	73841
33	1811	72795
34	1860	72542
35	1915	72572
36	1977	72833
37	2004	71841
38	2038	71137
39	2099	71378
40	2165	71787
41	2230	72110
42	2280	71979
43	2347	72348
44	2400	72273
45	2450	72143
46	2509	72234
47	2528	71219
48	2576	71045
49	2598	70152
50	2646	70011
51	2691	69765
52	2752	69962
53	2806	69963
54	2865	70080
55	2890	69376
56	2962	69789
57	3005	69532
58	3042	69147
59	3091	69042
60	3141	68948
61	3163	68276
62	3208	68081
63	3241	67667
64	3266	67080
65	3310	66910
66	3382	67290
67	3419	66978
68	3467	66895
69	3504	66589
70	3564	66719
71	3624	66858
72	3689	67063
73	3709	66467
74	3735	65991
75	3779	65839
76	3802	65338
77	3860	65436
78	3913	65432
79	3970	65508
80	4022	65507
81	4043	64989
82	4067	64544
83	4121	64566
84	4147	64160
85	4203	64219
86	4265	64368
87	4325	64492
88	4361	64249
89	4408	64164
90	4461	64178
91	4514	64183
92	4538	63781
93	4562	63393
94	4616	63413
95	4694	63770
96	4769	64072
97	4823	64086
98	4881	64144
99	4966	64569
100	5027	64656
101	5077	64608
102	5108	64323
103	5143	64101
104	5203	64174
105	5252	64124
106	5278	63787
107	5302	63432
108	5323	63049
109	5383	63131
110	5445	63233
111	5513	63408
112	5575	63504
113	5610	63294
114	5651	63148
115	5713	63244
116	5788	63475
117	5848	63537
118	5908	63606
119	5979	63778
120	6058	64044
121	6129	64209
122	6174	64100
123	6200	63809
124	6262	63874
125	6346	64172
126	6427	64425
127	6456	64157
128	6498	64024
129	6559	64081
130	6618	64113
131	6689	64256
132	6766	64455
133	6808	64326
134	6875	64426
135	6943	64533
136	6973	64292
137	7035	64339
138	7128	64665
139	7209	64881
140	7285	65056
141	7363	65236
142	7444	65438
143	7506	65473
144	7558	65417
145	7621	65461
146	7694	65588
147	7717	65283
148	7804	65528
149	7880	65666
150	7908	65411
151	7936	65159
152	7970	64965
153	8003	64758
154	8044	64612
155	8066	64328
156	8125	64333
157	8200	64460
158	8265	64511
159	8293	64275
160	8346	64228
161	8412	64290
162	8499	64500
163	8529	64280
164	8619	64512
165	8658	64364
166	8717	64361
167	8805	64574
168	8845	64428
169	8872	64197
170	8920	64114
171	8966	64017
172	9007	63885
173	9081	63989
174	9108	63757
175	9177	63825
176	9254	63946
177	9315	63951
178	9384	64014
179	9457	64097
180	9535	64220
181	9572	64061
182	9650	64176
183	9739	64364
184	9818	64484
185	9910	64685
186	9947	64525
187	10055	64826
188	10155	65070
189	10192	64912
190	10270	65007
191	10346	65094
192	10433	65252
193	10483	65167
194	10586	65417
195	10622	65249
196	10654	65065
197	10739	65197
198	10840	65424
199	10931	65586
200	10963	65396
201	10999	65237
202	11024	65007
203	11119	65188
204	11208	65339
205	11236	65129
206	11267	64935
207	11340	64987
208	11400	64965
209	11480	65054
210	11527	64955
211	11611	65070
212	11663	64998
213	11750	65123
214	11828	65195
215	11860	65010
216	11885	64794
217	11925	64660
218	11953	64459
219	11987	64295
220	12048	64276
221	12134	64386
222	12161	64188
223	12225	64182
224	12283	64149
225	12351	64164
226	12420	64183
227	12448	63991
228	12474	63787
229	12516	63669
230	12577	63651
231	12637	63625
232	12659	63407
