,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,outcome
0,-0.3130863944310428,-0.12962065391611674,1.80177271426435,-0.368142434616071,1.093379728286708,0.7024210699873894,-0.4833190218313529,0.06865928353773322,-0.29873709274177535,-0.07546531948629838,-0.040274806222011794,yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,less_1_liter,decreased,distend_small,serosanguious,yes,died
1,-0.3102579185414125,-0.8907054760384773,0.28958154734863656,-1.0978295927022248,-1.2303135183493832,-1.5764493891223113,1.5980102771989424,-0.8126465905286439,-0.29892110121927334,-0.07546531948629838,-0.040274806222011794,yes,adult,cool,normal,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,euthanized
2,-0.3132257899833609,0.12407428679133078,1.3893569414691553,-0.12491338192068635,-0.4557491028040195,-1.196637645937361,-0.5620720223352018,0.06865928353773322,0.23764761916490568,-0.07546531948629838,-0.040274806222011794,yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,none,absent,distend_large,serosanguious,yes,lived
3,3.177363484763455,-1.3980953574533814,-0.26030614971162286,-0.003298855572994037,-1.2303135183493832,0.32260932680243926,-0.5395711650483879,0.38341138141858216,-0.29892110121927334,-0.07546531948629838,-0.040274806222011794,yes,adult,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_small,cloudy,yes,lived
4,3.204717464892427,-0.256468124269845,-0.9476657710369472,1.0912318815562367,1.3515678668018292,-0.2471082879749859,-0.5283207364049809,-0.434944073071625,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,less_1_liter,normal,normal,cloudy,no,lived
5,-0.3133511722261868,-0.12962065391611674,-0.8101938467718823,0.11831567077469828,0.31881531274134417,-0.057202416382510855,-0.5020697362370312,-0.3090432339192856,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,no,adult,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,more_1_liter,decreased,firm,cloudy,no,lived
6,-0.30955651552419255,0.12407428679133078,-1.4975534680972067,-0.8546005400068403,-1.2303135183493832,-0.626920031159936,2.010525994123866,-1.4421507862903418,-0.13276144603857595,-0.07546531948629838,-0.040274806222011794,yes,adult,cool,reduced,normal_pink,less_3_sec,severe_pain,normal,slight,none,more_1_liter,decreased,distend_small,cloudy,no,euthanized
7,-0.31348466743766606,1.2657015199748762,1.1831490550715582,-0.368142434616071,0.06062717422622297,0.7024210699873894,-0.5170703077615739,0.761113898875601,-0.29910510969677134,-0.07546531948629838,-0.040274806222011794,no,adult,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,died
8,-0.31401496057055894,-1.0175529463922055,-1.085137695302012,-1.0978295927022248,1.3515678668018292,-0.9117788385486486,-0.5095700219993025,-0.434944073071625,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,no,adult,cool,reduced,normal_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,normal,firm,cloudy,no,lived
9,-0.3133526473113965,0.12407428679133078,1.6986687710655513,1.0912318815562367,0.008989546523198907,0.7024210699873894,-0.6183241655522368,-0.24609281434311575,-0.11472861524377156,-0.07546531948629838,-0.040274806222011794,yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,none,absent,distend_small,cloudy,yes,died
