iter	Passed	Remaining
0	6	6659
1	11	5764
2	15	5137
3	19	4956
4	24	4912
5	29	4877
6	33	4737
7	37	4641
8	41	4611
9	46	4603
10	50	4516
11	53	4436
12	57	4363
13	61	4326
14	65	4288
15	69	4252
16	73	4240
17	77	4221
18	81	4231
19	86	4233
20	91	4253
21	95	4245
22	99	4228
23	104	4235
24	107	4181
25	110	4132
26	115	4154
27	118	4128
28	123	4139
29	127	4121
30	130	4092
31	135	4087
32	139	4081
33	143	4069
34	147	4055
35	150	4035
36	154	4012
37	157	3998
38	161	3978
39	165	3977
40	169	3968
41	174	3985
42	178	3982
43	183	3994
44	187	3971
45	191	3978
46	196	3988
47	201	3998
48	206	4010
49	211	4015
50	216	4028
51	220	4028
52	224	4019
53	229	4012
54	234	4025
55	239	4033
56	243	4027
57	247	4027
58	252	4023
59	257	4039
60	261	4029
61	266	4029
62	270	4020
63	275	4024
64	279	4022
65	283	4011
66	289	4026
67	294	4040
68	299	4035
69	303	4028
70	307	4018
71	311	4013
72	315	4001
73	318	3989
74	324	3996
75	328	3996
76	333	3992
77	336	3982
78	340	3975
79	345	3972
80	346	3931
81	350	3924
82	354	3917
83	358	3911
84	363	3912
85	367	3903
86	371	3897
87	376	3905
88	380	3893
89	384	3883
90	388	3878
91	392	3875
92	397	3877
93	401	3872
94	405	3867
95	410	3869
96	415	3864
97	420	3868
98	424	3862
99	429	3866
100	433	3857
101	438	3864
102	443	3862
103	447	3855
104	452	3860
105	457	3854
106	462	3855
107	466	3856
108	470	3849
109	476	3855
110	481	3858
111	486	3858
112	490	3848
113	496	3855
114	497	3826
115	502	3828
116	506	3822
117	511	3823
118	515	3814
119	519	3808
120	523	3800
121	527	3797
122	531	3792
123	536	3792
124	541	3789
125	545	3784
126	550	3781
127	554	3780
128	558	3773
129	563	3768
130	565	3749
131	570	3750
132	572	3734
133	577	3731
134	581	3729
135	585	3722
136	591	3722
137	595	3719
138	599	3713
139	604	3712
140	608	3705
141	613	3706
142	618	3708
143	623	3704
144	627	3699
145	631	3693
146	635	3686
147	640	3686
148	644	3680
149	648	3674
150	652	3670
151	657	3667
152	661	3660
153	665	3657
154	669	3648
155	674	3647
156	678	3644
157	682	3637
158	687	3634
159	691	3630
160	695	3622
