iter	MultiClass
0	1.990728637
1	1.862017703
2	1.767174511
3	1.650495844
4	1.546247252
5	1.466007765
6	1.411717789
7	1.346756588
8	1.288338996
9	1.240035832
10	1.198499557
11	1.161274906
12	1.135045371
13	1.105217603
14	1.073635656
15	1.04903303
16	1.027644828
17	1.013403477
18	0.9911565582
19	0.9704382786
20	0.9522540106
21	0.9316364499
22	0.9152305249
23	0.9084902913
24	0.8969761498
25	0.8863933752
26	0.8790758539
27	0.8705506798
28	0.8614198325
29	0.8517476707
30	0.8441555357
31	0.8354546476
32	0.8265796765
33	0.8164702326
34	0.8124367135
35	0.8071529187
36	0.7981311748
37	0.7863482771
38	0.7833129892
39	0.7798311922
40	0.7740093158
41	0.7705844016
42	0.7630791178
43	0.7524716706
44	0.7440208591
45	0.7382782677
46	0.7335861717
47	0.7251626547
48	0.7166913206
49	0.7139273777
50	0.7077591562
51	0.7027343049
52	0.6976792452
53	0.6933551765
54	0.6892098404
55	0.6822926997
56	0.6784454485
57	0.6724954845
58	0.6699479806
59	0.667742948
60	0.6613999189
61	0.6594230358
62	0.6570102179
63	0.6505106186
64	0.64679287
65	0.6427901824
66	0.6394420842
67	0.6348310754
68	0.6299622633
69	0.6259073127
70	0.623934208
71	0.6203476226
72	0.6178898848
73	0.6143234001
74	0.6117474063
75	0.6093264204
76	0.6055133415
77	0.6012888007
78	0.5980519161
79	0.594138328
80	0.589716406
81	0.5860929071
82	0.5807885839
83	0.5771308234
84	0.5733256034
85	0.5717203224
86	0.5663680001
87	0.5613966352
88	0.5582299525
89	0.5546431171
90	0.55065548
91	0.5463081671
92	0.5421693971
93	0.5391256491
94	0.5362737923
95	0.5299790238
96	0.5272739184
97	0.5236435003
98	0.5221524292
99	0.5182638515
100	0.5146544007
101	0.5126078234
102	0.5104523841
103	0.5072751429
104	0.5040269078
105	0.5001062571
106	0.4976966598
107	0.4933345633
108	0.491428524
109	0.4888865737
110	0.4858756278
111	0.4820753791
112	0.4787230016
113	0.4761685903
114	0.473062164
115	0.4706120974
